,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
0,1,2,3,5,3,1,2,4651,1,24,0,1,1,91,29.0,,13,0,0,5,15,17115
1,0,0,1,4,0,0,4,6217,0,47,0,0,1,210,31.0,,4,0,0,3,17,5074
2,0,1,2,1,1,0,4,4306,0,64,0,0,0,161,37.0,,17,0,0,6,22,23137
3,0,1,1,2,7,4,2,6000,1,50,0,0,0,103,21.0,,17,1,1,3,27,22115
4,0,0,1,4,3,1,2,4740,0,42,1,0,1,112,25.0,2009.0,18,0,4,6,24,24071
5,0,2,3,0,8,0,2,5053,1,37,0,0,1,152,35.0,2009.0,23,1,1,3,3,32134
6,0,0,3,5,8,0,4,4449,0,38,0,0,1,77,27.0,2010.0,24,0,2,3,6,30142
7,0,0,1,4,1,0,4,7183,1,45,0,0,0,241,23.0,,18,0,4,6,24,24093
8,0,2,2,5,8,1,4,5381,1,42,0,0,1,124,22.0,2013.0,13,1,1,5,2,18082
9,0,2,2,5,4,3,3,3869,0,35,0,0,0,78,43.0,,6,0,4,6,2,7130
10,0,0,1,5,7,1,3,4623,0,31,0,0,1,150,37.0,1999.0,17,0,3,4,6,21125
11,0,0,1,5,7,0,5,4627,1,40,0,0,0,225,16.0,2017.0,11,0,2,2,28,14115
12,1,1,1,1,4,0,3,5012,1,48,0,0,0,95,28.0,2022.0,4,0,3,1,1,5124
13,0,1,2,3,6,1,2,6858,0,26,0,0,1,242,36.0,2008.0,22,1,0,5,11,30063
14,0,2,3,5,8,1,4,5022,1,68,0,0,1,129,37.0,,6,0,2,3,9,7055
15,0,1,1,1,1,1,3,5062,0,50,0,0,1,190,19.0,,4,0,3,3,12,5094
16,0,1,3,3,0,0,2,5569,0,16,1,0,1,231,28.0,,9,0,3,5,11,12127
17,0,1,3,1,0,1,2,5539,0,28,0,0,1,261,22.0,,13,0,0,4,12,17134
18,0,1,1,2,4,1,4,4598,1,58,0,0,1,159,22.0,2001.0,29,1,1,5,27,38082
19,0,2,2,0,1,1,2,5679,1,19,0,0,1,189,24.0,,22,0,2,2,21,27100
20,0,1,2,1,8,0,2,5678,0,31,0,0,1,65,41.0,2016.0,19,0,3,4,1,24062
21,0,1,2,2,6,0,2,3980,0,49,0,0,1,156,31.0,2010.0,14,1,3,6,19,17117
22,0,2,1,5,5,0,4,3588,0,69,0,0,0,199,24.0,1997.0,28,1,4,6,8,40150
23,0,1,2,2,8,1,2,4388,0,32,0,0,1,80,37.0,2003.0,25,0,4,5,19,32098
24,1,0,3,4,1,0,4,5670,1,25,0,0,1,140,31.0,,12,0,4,2,14,15125
25,0,1,1,2,7,1,3,5496,0,46,0,0,0,67,31.0,2006.0,22,0,2,3,27,26066
26,0,2,3,5,5,3,4,4063,0,40,0,0,1,229,21.0,,8,0,4,6,9,10077
27,0,2,2,5,8,3,2,5790,1,31,0,0,0,98,36.0,,11,0,4,4,9,14150
28,0,2,1,5,3,1,1,7692,0,62,1,0,0,154,20.0,,0,0,5,0,8,3123
29,0,0,3,5,8,0,4,5119,0,48,0,0,0,261,24.0,2019.0,6,1,0,1,6,8056
30,0,1,3,3,5,0,4,4552,1,67,0,0,0,230,17.0,2017.0,12,0,3,5,11,15082
31,0,0,1,5,4,0,2,3540,1,21,0,0,0,164,19.0,2009.0,18,1,3,6,23,21064
32,0,1,2,1,4,0,3,3559,0,51,0,0,1,197,29.0,2003.0,34,0,0,4,12,45061
33,0,1,2,3,7,0,2,6695,1,51,0,0,1,80,24.0,2015.0,14,1,1,3,26,21116
34,0,2,2,5,4,0,2,5329,0,57,0,0,0,262,46.0,2012.0,16,0,4,1,2,22055
35,0,0,1,4,0,1,4,5353,1,28,0,0,1,80,30.0,,0,0,5,0,24,4141
36,0,0,3,4,5,0,3,4031,0,59,0,0,1,125,24.0,1998.0,34,0,2,5,14,42116
37,0,1,0,2,0,1,8,6804,1,59,0,0,0,77,29.0,,17,0,2,4,27,19100
38,0,0,3,5,5,0,4,6915,0,16,0,0,1,94,33.0,2021.0,0,0,5,0,23,6117
39,0,1,2,2,7,0,3,4243,0,23,0,0,1,153,43.0,2006.0,38,0,2,2,19,47071
40,0,0,3,5,3,0,4,6729,1,21,0,0,1,80,32.0,2004.0,23,1,4,5,23,32117
41,0,2,2,0,1,0,1,4487,0,46,0,1,1,216,,,25,0,4,5,21,31087
42,0,0,1,5,5,2,2,4714,1,17,0,0,0,247,26.0,,16,1,1,3,28,20149
43,0,0,1,5,5,0,2,3285,0,56,0,0,0,123,28.0,2000.0,25,0,4,4,28,31139
44,0,0,1,5,7,1,2,4922,1,22,0,0,0,167,20.0,2005.0,22,0,2,4,23,27137
45,1,0,3,4,7,0,3,5667,0,63,0,0,1,220,38.0,2015.0,21,1,1,3,14,31113
46,0,1,2,3,1,1,3,5551,1,30,0,0,0,134,30.0,,15,0,0,2,26,20092
47,0,0,1,5,3,0,3,4200,1,57,0,0,1,216,39.0,1998.0,36,0,0,6,28,49083
48,0,0,3,5,1,0,2,5601,1,53,0,0,0,64,40.0,,9,0,2,1,29,10145
49,1,0,2,4,3,0,3,3700,0,66,0,0,1,196,26.0,2000.0,31,1,1,5,10,44116
50,0,1,3,2,4,0,4,4020,1,36,0,0,0,240,23.0,2016.0,6,1,1,5,19,8127
51,1,0,3,5,4,0,4,4472,0,50,0,0,1,85,23.0,,20,1,4,3,6,27128
52,0,1,1,3,3,0,5,4248,0,29,0,0,1,242,31.0,2009.0,16,0,3,5,26,20127
53,0,1,1,1,6,1,2,3943,1,38,0,0,0,190,19.0,2008.0,18,0,0,4,1,23149
54,0,1,2,2,4,0,2,4897,1,44,0,0,0,253,27.0,2011.0,18,1,1,2,27,23134
55,0,2,1,5,3,0,4,4524,0,55,0,0,1,66,24.0,2015.0,14,0,3,3,13,18150
56,0,0,3,5,6,0,4,5559,1,49,0,0,0,229,20.0,2014.0,9,1,3,4,23,10080
57,0,0,1,5,2,4,2,5308,1,69,0,0,1,77,39.0,,17,0,2,3,23,19095
58,0,2,2,0,1,1,2,4004,0,38,1,0,1,168,27.0,,25,1,4,4,21,32057
59,1,0,1,4,8,0,2,7311,0,62,0,0,1,219,34.0,2010.0,21,0,0,6,17,28127
60,1,2,1,0,4,0,2,4657,1,39,0,0,0,110,17.0,2000.0,23,0,3,5,30,27107
61,0,2,1,5,2,0,4,3810,1,54,0,0,1,69,30.0,,31,1,1,2,13,44129
62,0,0,2,5,7,0,4,4445,1,47,1,1,1,239,29.0,2012.0,10,1,1,5,23,13061
63,0,1,2,1,3,1,2,5193,1,30,0,0,0,237,26.0,2011.0,20,1,1,6,32,25145
64,0,0,1,5,1,1,2,4770,0,37,0,0,1,113,16.0,,22,0,2,2,7,26060
65,0,0,3,4,5,0,4,5772,0,28,0,0,1,181,32.0,1999.0,25,0,3,3,25,28143
66,0,1,2,3,4,0,4,6074,1,49,0,0,0,255,22.0,2000.0,32,0,4,4,26,44116
67,0,0,1,4,1,0,3,6720,1,30,0,1,1,90,25.0,,22,0,3,4,17,27069
